,bot,shoes
N07979,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3596659.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3654899.jpg
N06943,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3394919.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3381629.jpg
N06497,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3334079.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3330579.jpg
N03932,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2475938.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2476638.jpg
N10452,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3836841.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/4038421.jpg
N02584,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2787448.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2514438.jpg
N08134,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3506739.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3381339.jpg
N09025,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3791109.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3225879.jpg
N08364,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3593439.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3606099.jpg
N14713,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4405921.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/4105071.jpg
N02142,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2762358.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2625548.jpg
N10999,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4124691.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/4014541.jpg
N07379,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3545829.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3305069.jpg
N09953,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4036621.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3720129.jpg
N09533,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3910441.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3914621.jpg
N09147,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3430319.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3434259.jpg
N00790,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2785278.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2545348.jpg
N06984,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3362669.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3365079.jpg
N08654,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3486009.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3486409.jpg
N01225,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2564538.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2597898.jpg
N04977,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2952298.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2559948.jpg
N11831,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4408261.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3992161.jpg
N01893,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2378897.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2698628.jpg
N10602,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4016511.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/4014911.jpg
N09409,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4000341.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3882581.jpg
N14387,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4165111.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/4018261.jpg
N14878,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4066601.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3944941.jpg
N11862,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4154141.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3917161.jpg
N05911,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3486549.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3804419.jpg
N07829,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3754609.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3501359.jpg
N00491,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2503908.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2514588.jpg
N11187,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4104231.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/4015051.jpg
N03131,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2135167.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2575958.jpg
N04557,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2475938.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2905408.jpg
N10912,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4075811.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/4221481.jpg
N01782,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2917138.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2917408.jpg
N04159,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2783008.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2731098.jpg
N03876,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2453418.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2453808.jpg
N08725,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3709469.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3398359.jpg
N01020,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2605758.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2526788.jpg
N06807,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3692049.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3302599.jpg
N07974,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3592989.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3336399.jpg
N04990,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2475938.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2476578.jpg
N02207,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2623458.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2664108.jpg
N04598,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3004238.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2916758.jpg
N00980,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2842268.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2728008.jpg
N07009,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3362719.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3365819.jpg
N08915,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3487309.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3450089.jpg
N00939,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2771458.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2771708.jpg
N03748,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2417377.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2515528.jpg
N06291,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3417889.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3400909.jpg
N06276,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3699889.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3400869.jpg
N02543,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2605758.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2545348.jpg
N00750,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2542348.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2804758.jpg
N01097,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2527368.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2528188.jpg
N09981,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3956811.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3926511.jpg
N10315,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3915851.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3917891.jpg
N07576,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3423629.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3291819.jpg
N00112,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2500548.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2654358.jpg
N06805,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3426189.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3446109.jpg
N10874,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4021381.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3850441.jpg
N00865,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2908858.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2590488.jpg
N03417,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2592108.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2551178.jpg
N03983,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2833858.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2430468.jpg
N01609,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3037428.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3100018.jpg
N11592,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4032531.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/4017851.jpg
N07546,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3519159.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3519589.jpg
N10398,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4004691.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3974751.jpg
N10613,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3972401.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3965191.jpg
N03371,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2605758.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2510778.jpg
N09197,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3426989.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3356459.jpg
N07957,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3603199.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3442219.jpg
N04634,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2982608.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2713738.jpg
N05994,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3384719.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3344789.jpg
N14907,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3963001.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3867111.jpg
N05353,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3428559.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3356009.jpg
N04052,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2332997.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2333207.jpg
N05401,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3427039.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3398619.jpg
N02576,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2761028.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2760328.jpg
N05390,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3511069.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3448699.jpg
N00414,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2536768.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2536548.jpg
N08606,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3365269.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3355959.jpg
N10865,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4405921.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3955511.jpg
N08117,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3367679.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3379009.jpg
N11222,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4152071.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3926511.jpg
N05115,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2594078.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2747218.jpg
N04456,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3023728.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2711108.jpg
N06639,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3353229.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3225959.jpg
N05362,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3784709.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2929618.jpg
N10699,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3941401.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/4275581.jpg
N00623,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2820528.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2580188.jpg
N10287,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3957221.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3926511.jpg
N01962,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2755958.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2559958.jpg
N10747,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4185201.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3720109.jpg
N08670,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4034931.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3344829.jpg
N04297,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2911458.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2899758.jpg
N03828,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2553228.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2574628.jpg
N09342,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3882141.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3400789.jpg
N09124,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3491719.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3358559.jpg
N15084,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4013831.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3903451.jpg
N02036,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2476748.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2575608.jpg
N10750,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4185191.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3720109.jpg
N02112,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2642568.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2509668.jpg
N07904,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3732309.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3398359.jpg
N06986,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3750439.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3733379.jpg
N02819,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2778508.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2523428.jpg
N01667,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2849858.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2900438.jpg
N07864,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3365299.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3429919.jpg
N06102,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3462269.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3606119.jpg
N03486,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2320247.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2545218.jpg
N11117,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4001671.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3892241.jpg
N03662,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2471028.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2471778.jpg
N10162,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3870791.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3962151.jpg
N10984,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4188511.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3720129.jpg
N05718,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3640429.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3356629.jpg
N05929,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3350149.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3899031.jpg
N04963,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2952208.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2428258.jpg
N08723,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3709359.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3398289.jpg
N03415,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2604258.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2719088.jpg
N06408,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3670149.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3356689.jpg
N07082,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3377919.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3381029.jpg
N05566,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3637579.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3348519.jpg
N11714,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4020251.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3917941.jpg
N07306,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3533799.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3439009.jpg
N07011,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3750439.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3733569.jpg
N02274,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2761028.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2760338.jpg
N08970,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3458509.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3449209.jpg
N11021,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4014051.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3946911.jpg
N11823,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4418571.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3992091.jpg
N02457,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/2777508.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/2778008.jpg
N11274,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3995631.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3994341.jpg
N10411,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/3852161.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3917921.jpg
N14710,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4104081.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/4105071.jpg
N10180,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/bottom/4000361.jpg,/content/drive/MyDrive/Colab_Notebooks/RecSys/items/recs/shoes/3991711.jpg
